exchange_id,name,unit,value,type,date
217,South Korean Won,₩,22431117.568,fiat,2022-12-06 22:08:48.266308
218,Kuwaiti Dinar,KD,5217.253,fiat,2022-12-06 22:08:48.371702
219,Sri Lankan Rupee,Rs,6245030.285,fiat,2022-12-06 22:08:48.477632
220,Burmese Kyat,K,35685771.285,fiat,2022-12-06 22:08:48.583345
221,Mexican Peso,MX$,335691.561,fiat,2022-12-06 22:08:48.689794
222,Malaysian Ringgit,RM,74678.314,fiat,2022-12-06 22:08:48.793750
223,Nigerian Naira,₦,7545193.343,fiat,2022-12-06 22:08:48.901435
224,Norwegian Krone,kr,170258.06,fiat,2022-12-06 22:08:49.006825
225,New Zealand Dollar,NZ$,26895.798,fiat,2022-12-06 22:08:49.111326
226,Philippine Peso,₱,948550.453,fiat,2022-12-06 22:08:49.215865
227,Pakistani Rupee,₨,3812532.934,fiat,2022-12-06 22:08:49.320353
228,Polish Zloty,zł,76168.074,fiat,2022-12-06 22:08:49.424842
229,Russian Ruble,₽,1077270.803,fiat,2022-12-06 22:08:49.529328
230,Saudi Riyal,SR,63876.448,fiat,2022-12-06 22:08:49.634126
231,Swedish Krona,kr,176724.403,fiat,2022-12-06 22:08:49.739729
232,Singapore Dollar,S$,23083.347,fiat,2022-12-06 22:08:49.843930
233,Thai Baht,฿,596773.692,fiat,2022-12-06 22:08:49.948801
234,Turkish Lira,₺,316588.474,fiat,2022-12-06 22:08:50.052989
235,New Taiwan Dollar,NT$,520411.879,fiat,2022-12-06 22:08:50.254974
236,Ukrainian hryvnia,₴,627580.595,fiat,2022-12-06 22:08:50.863345
237,Venezuelan bolívar fuerte,Bs.F,1701.374,fiat,2022-12-06 22:08:51.610360
238,Vietnamese đồng,₫,407816267.404,fiat,2022-12-06 22:08:52.443406
239,South African Rand,R,294696.769,fiat,2022-12-06 22:08:53.001320
240,IMF Special Drawing Rights,XDR,12774.681,fiat,2022-12-06 22:08:53.718354
241,Silver - Troy Ounce,XAG,765.736,commodity,2022-12-06 22:08:54.944045
242,Gold - Troy Ounce,XAU,9.594,commodity,2022-12-06 22:08:55.866923
243,Bits,μBTC,1000000.0,crypto,2022-12-06 22:08:56.388036
244,Satoshi,sats,100000000.0,crypto,2022-12-06 22:08:57.594650
245,Bitcoin,BTC,1.0,crypto,2022-12-06 23:07:24.829947
246,Ether,ETH,13.536,crypto,2022-12-06 23:07:25.712648
247,Litecoin,LTC,215.978,crypto,2022-12-06 23:07:26.599494
248,Bitcoin Cash,BCH,153.293,crypto,2022-12-06 23:07:26.803003
249,Binance Coin,BNB,58.775,crypto,2022-12-06 23:07:27.413291
250,EOS,EOS,17765.813,crypto,2022-12-06 23:07:28.316776
251,XRP,XRP,43576.12,crypto,2022-12-06 23:07:28.949556
252,Lumens,XLM,197708.529,crypto,2022-12-06 23:07:29.686306
253,Chainlink,LINK,2420.412,crypto,2022-12-06 23:07:30.486239
254,Polkadot,DOT,3115.303,crypto,2022-12-06 23:07:31.712778
255,Yearn.finance,YFI,2.392,crypto,2022-12-06 23:07:32.533225
256,US Dollar,$,16993.809,fiat,2022-12-06 23:07:33.017713
257,United Arab Emirates Dirham,DH,62418.278,fiat,2022-12-06 23:07:33.699419
258,Argentine Peso,$,2880333.415,fiat,2022-12-06 23:07:34.683762
259,Australian Dollar,A$,25400.595,fiat,2022-12-06 23:07:35.297782
260,Bangladeshi Taka,৳,1754778.078,fiat,2022-12-06 23:07:35.813992
261,Bahraini Dinar,BD,6406.632,fiat,2022-12-06 23:07:36.132564
262,Bermudian Dollar,$,16993.809,fiat,2022-12-06 23:07:36.834011
263,Brazil Real,R$,88984.666,fiat,2022-12-06 23:07:37.465292
264,Canadian Dollar,CA$,23199.676,fiat,2022-12-06 23:07:38.368047
265,Swiss Franc,Fr.,16010.037,fiat,2022-12-06 23:07:38.914335
266,Chilean Peso,CLP$,14926634.615,fiat,2022-12-06 23:07:39.304062
267,Chinese Yuan,¥,118888.689,fiat,2022-12-06 23:07:40.211494
268,Czech Koruna,Kč,394953.104,fiat,2022-12-06 23:07:41.339888
269,Danish Krone,kr.,120765.621,fiat,2022-12-06 23:07:41.913988
270,Euro,€,16236.718,fiat,2022-12-06 23:07:42.361705
271,British Pound Sterling,£,14008.812,fiat,2022-12-06 23:07:43.077217
272,Hong Kong Dollar,HK$,132111.657,fiat,2022-12-06 23:07:43.488559
273,Hungarian Forint,Ft,6685199.73,fiat,2022-12-06 23:07:44.551595
274,Indonesian Rupiah,Rp,265527845.124,fiat,2022-12-06 23:07:45.090836
275,Israeli New Shekel,₪,58151.285,fiat,2022-12-06 23:07:45.908501
276,Indian Rupee,₹,1399838.613,fiat,2022-12-06 23:07:46.293554
277,Japanese Yen,¥,2328150.657,fiat,2022-12-06 23:07:47.112569
278,South Korean Won,₩,22426380.881,fiat,2022-12-06 23:07:47.781462
279,Kuwaiti Dinar,KD,5220.09,fiat,2022-12-06 23:07:48.713055
280,Sri Lankan Rupee,Rs,6245822.87,fiat,2022-12-06 23:07:49.737535
281,Burmese Kyat,K,35690300.327,fiat,2022-12-06 23:07:50.965461
282,Mexican Peso,MX$,336016.84,fiat,2022-12-06 23:07:51.474685
283,Malaysian Ringgit,RM,74687.791,fiat,2022-12-06 23:07:52.502359
284,Nigerian Naira,₦,7546150.937,fiat,2022-12-06 23:07:53.112363
285,Norwegian Krone,kr,169763.396,fiat,2022-12-06 23:07:53.525159
286,New Zealand Dollar,NZ$,26910.784,fiat,2022-12-06 23:07:54.607220
287,Philippine Peso,₱,949613.977,fiat,2022-12-06 23:07:55.260328
288,Pakistani Rupee,₨,3813016.8,fiat,2022-12-06 23:07:56.671416
289,Polish Zloty,zł,76173.067,fiat,2022-12-06 23:07:57.412671
290,Russian Ruble,₽,1077407.525,fiat,2022-12-06 23:07:58.103441
291,Saudi Riyal,SR,63885.846,fiat,2022-12-06 23:07:59.125634
292,Swedish Krona,kr,176884.669,fiat,2022-12-06 23:07:59.749150
293,Singapore Dollar,S$,23089.981,fiat,2022-12-06 23:08:00.576610
294,Thai Baht,฿,595836.94,fiat,2022-12-06 23:08:01.452064
295,Turkish Lira,₺,316609.723,fiat,2022-12-06 23:08:02.227715
296,New Taiwan Dollar,NT$,520554.365,fiat,2022-12-06 23:08:02.786835
297,Ukrainian hryvnia,₴,627660.244,fiat,2022-12-06 23:08:04.018679
298,Venezuelan bolívar fuerte,Bs.F,1701.59,fiat,2022-12-06 23:08:05.100638
299,Vietnamese đồng,₫,407868025.2,fiat,2022-12-06 23:08:06.020337
300,South African Rand,R,294485.364,fiat,2022-12-06 23:08:06.939707
301,IMF Special Drawing Rights,XDR,12776.302,fiat,2022-12-06 23:08:07.774254
302,Silver - Troy Ounce,XAG,765.488,commodity,2022-12-06 23:08:08.387688
303,Gold - Troy Ounce,XAU,9.596,commodity,2022-12-06 23:08:09.090312
304,Bits,μBTC,1000000.0,crypto,2022-12-06 23:08:09.738341
305,Satoshi,sats,100000000.0,crypto,2022-12-06 23:08:10.339535
306,Bitcoin,BTC,1.0,crypto,2022-12-09 22:29:21.544035
307,Ether,ETH,13.562,crypto,2022-12-09 22:29:21.634190
308,Litecoin,LTC,224.239,crypto,2022-12-09 22:29:21.721134
309,Bitcoin Cash,BCH,156.738,crypto,2022-12-09 22:29:21.808570
310,Binance Coin,BNB,59.832,crypto,2022-12-09 22:29:21.896764
311,EOS,EOS,16446.578,crypto,2022-12-09 22:29:21.984500
312,XRP,XRP,43965.688,crypto,2022-12-09 22:29:22.079942
313,Lumens,XLM,201228.76,crypto,2022-12-09 22:29:22.170358
314,Chainlink,LINK,2503.664,crypto,2022-12-09 22:29:22.257971
315,Polkadot,DOT,3242.464,crypto,2022-12-09 22:29:22.346101
316,Yearn.finance,YFI,2.488,crypto,2022-12-09 22:29:22.433780
317,US Dollar,$,17127.525,fiat,2022-12-09 22:29:22.524186
